size_m2,bedrooms,distance_center,building_age,monthly_rent,premium_area
139,3,14.05,38,7296.72,1
56,3,3.03,7,3914.14,1
58,1,3.0,35,2669.77,0
73,1,9.48,4,3336.21,0
35,3,22.54,14,1200.0,0
38,1,11.92,29,1200.0,0
49,1,12.99,7,2004.93,0
82,5,1.51,21,5746.03,1
55,3,15.74,0,2868.84,0
93,4,4.31,23,5836.54,1
143,5,1.49,26,9623.85,1
95,4,0.44,32,6266.19,1
66,4,4.71,12,4729.6,1
139,5,18.37,16,8029.92,1
106,4,21.16,0,5670.44,1
86,2,17.3,24,3331.18,0
37,3,20.78,5,1200.0,0
34,5,14.13,28,1366.64,0
96,4,15.88,39,4241.5,0
108,2,6.28,16,6297.59,1
70,5,2.87,4,5509.74,1
85,5,6.95,6,5740.6,1
137,3,20.92,9,7062.69,1
89,5,4.08,10,6369.9,1
133,3,22.82,31,5736.56,1
26,2,20.84,18,1200.0,0
141,2,13.28,11,7657.82,1
58,2,14.72,2,2211.58,0
141,1,14.57,33,6306.34,0
138,1,23.51,11,6262.47,0
146,1,12.66,18,7228.05,1
39,2,14.55,20,1200.0,0
96,5,12.91,17,5727.65,1
77,1,9.3,24,3446.07,0
44,3,20.29,5,1597.76,0
31,2,15.12,15,1200.0,0
145,1,9.7,17,7494.73,1
33,5,13.05,34,1709.12,0
144,1,15.87,5,6932.33,1
97,3,6.98,34,5241.05,1
64,3,4.37,19,3683.01,1
133,1,22.69,15,5403.74,0
49,3,22.81,13,1552.35,0
49,5,3.19,22,4098.35,1
55,2,4.58,23,2832.56,0
117,4,7.59,1,7304.91,1
63,2,2.71,0,4334.92,1
102,5,4.9,16,6988.95,1
43,1,11.58,9,1307.57,0
99,1,11.61,21,4231.91,1
148,4,2.29,5,9789.33,1
79,2,9.06,36,3788.12,0
55,2,16.93,26,1510.66,0
125,5,4.06,1,8643.4,1
121,1,3.83,24,6561.95,1
67,2,11.2,23,2846.9,0
51,3,8.9,16,2772.8,0
58,4,4.0,23,3934.43,1
45,3,8.35,23,2586.13,1
134,3,17.64,0,7162.24,1
49,3,20.71,5,1602.09,0
58,4,21.51,16,2331.38,0
58,3,18.73,27,1844.04,0
142,2,19.37,28,6259.96,1
117,5,9.83,5,7348.22,1
109,4,14.23,26,5763.55,1
99,1,7.25,21,4871.81,0
66,3,9.92,26,3138.55,0
67,3,12.35,30,3329.78,0
123,4,12.51,16,6940.06,1
139,1,10.64,5,7106.52,1
58,5,13.62,36,2886.2,0
102,3,5.13,28,6020.46,1
127,1,3.2,12,7477.79,1
25,5,0.46,26,2842.26,0
91,2,6.08,30,4761.65,1
71,1,21.93,25,2265.37,0
47,1,6.79,35,1583.97,0
62,5,13.97,30,3284.97,0
33,4,24.89,28,1200.0,0
55,5,15.06,37,2820.29,0
55,3,18.75,1,2336.24,0
132,1,4.42,22,7675.85,1
106,2,15.42,17,4935.83,0
71,4,22.72,39,2087.63,0
137,4,8.28,25,7984.91,1
85,5,3.17,29,6180.41,1
123,2,5.15,21,7285.23,1
75,4,8.39,31,4029.68,1
38,5,19.12,13,1697.59,0
96,3,9.19,27,5292.53,1
64,5,14.04,9,3933.56,0
83,1,17.13,37,2261.0,0
39,5,8.24,38,2238.96,0
143,3,7.61,26,8181.92,1
129,1,5.0,3,7608.78,1
102,4,11.31,16,5757.78,1
123,1,22.55,29,4214.6,0
84,4,3.83,4,5763.83,1
75,1,14.7,14,2659.01,0
147,3,19.09,1,7712.64,1
136,1,14.2,15,6783.66,1
41,2,8.84,4,2492.09,1
130,1,15.28,7,6359.35,1
63,3,14.4,8,3155.22,0
100,2,11.52,7,5094.43,1
39,4,16.81,7,1588.35,0
97,3,24.38,3,3989.16,0
38,2,12.19,3,1832.28,0
145,3,14.6,4,8177.7,1
137,1,14.03,21,6323.61,1
86,4,5.12,24,5424.92,1
60,2,21.79,4,1798.34,0
134,1,17.18,17,6067.29,1
53,4,5.79,17,3706.31,0
45,4,20.2,25,1778.9,0
118,5,4.07,15,7942.98,1
36,4,5.29,30,1999.35,0
80,5,12.12,16,4942.15,1
112,4,9.35,38,6055.5,1
77,2,12.37,34,3211.39,0
39,5,5.49,6,3401.85,1
33,3,1.4,35,2306.23,0
61,1,1.75,14,3313.28,1
28,3,0.92,28,2133.6,0
85,4,21.04,10,3757.71,0
149,4,20.05,32,7451.83,1
125,1,15.64,8,5965.53,1
120,1,16.93,25,4829.17,0
90,4,5.3,5,5881.08,1
127,4,22.69,31,5503.97,0
127,4,5.43,7,8544.46,1
72,5,20.63,6,3294.28,1
79,4,21.1,18,3443.21,0
52,1,24.77,14,1200.0,0
127,2,10.02,23,6668.74,1
137,5,2.3,29,9073.58,1
133,1,18.48,18,6021.35,1
149,5,20.87,22,7928.71,1
96,2,5.54,13,5485.55,1
83,1,22.31,15,2722.67,0
54,3,6.04,1,3587.75,1
25,4,24.33,1,1200.0,0
121,2,18.03,5,5759.34,1
119,5,5.48,0,8456.0,1
29,5,16.09,16,1480.56,0
59,2,4.55,20,3402.77,0
78,5,3.4,31,5830.71,1
45,5,12.6,23,2485.33,0
37,5,20.59,2,1714.95,0
99,2,10.69,1,5089.87,1
138,5,8.74,4,9075.98,1
87,1,21.22,7,3205.3,0
69,5,24.6,9,3269.66,0
68,2,12.77,30,3059.01,0
36,5,12.22,7,2500.32,0
120,1,6.27,24,5814.38,1
87,5,7.05,12,5797.3,1
122,1,13.53,3,6075.29,0
139,4,20.69,25,7614.39,1
26,5,14.43,9,1595.17,0
37,4,14.47,30,1317.52,0
34,5,24.59,23,1200.0,0
114,1,0.34,28,6405.79,1
140,3,1.11,15,8804.33,1
49,5,15.98,31,2270.86,0
50,1,6.29,32,1995.06,0
95,5,15.35,1,5783.44,1
98,3,16.99,13,5273.48,0
44,4,19.21,22,1652.43,0
49,2,15.61,5,1880.42,0
62,1,8.82,15,2721.25,0
138,4,8.32,7,8433.46,1
108,2,2.52,11,6583.59,1
131,1,7.08,6,7211.38,1
72,5,18.25,31,3654.68,0
85,2,4.72,33,4624.49,1
77,1,7.4,34,3702.83,0
91,2,8.83,39,4243.38,0
44,1,17.05,2,1200.0,0
139,1,12.66,2,7211.2,1
55,3,18.86,33,1706.3,0
147,4,13.9,29,8408.93,1
47,2,3.34,33,2578.44,0
26,3,14.28,7,1200.0,0
46,2,17.52,3,1533.57,0
149,1,8.08,39,7698.76,1
26,2,18.32,28,1200.0,0
43,4,14.15,29,1790.92,0
90,4,11.64,39,4830.6,1
131,2,23.04,7,5536.25,1
133,4,22.37,30,6472.57,1
26,4,17.08,20,1200.0,0
81,3,19.71,25,3434.75,0
41,5,17.76,22,1530.22,0
147,1,11.32,11,7741.45,1
30,5,11.84,26,2219.47,0
89,1,18.32,14,3820.25,0
44,2,6.78,28,1856.57,0
37,3,8.06,0,2506.16,1
80,1,13.38,16,3219.86,0
59,2,2.4,14,3139.32,1
107,5,4.63,11,7546.41,1
108,1,21.26,19,4236.55,0
62,4,12.51,18,3156.23,1
91,3,5.7,14,5521.21,1
107,4,7.75,32,6128.24,1
36,4,14.18,3,1954.93,0
56,5,14.11,37,2816.49,0
72,3,2.33,15,4874.66,1
39,5,13.32,9,2581.11,0
131,3,0.33,20,8751.91,1
126,5,12.28,18,7696.37,1
136,4,23.66,24,6281.38,1
65,1,11.15,5,2671.27,0
149,5,20.67,20,8101.02,1
109,1,8.72,3,5769.5,1
69,5,9.1,28,4563.6,1
103,1,2.78,21,5770.5,1
66,4,10.32,25,3591.16,0
99,3,23.6,23,4201.57,0
101,3,17.37,18,4924.27,0
133,4,17.06,25,7014.48,1
61,2,13.24,3,2941.1,0
118,3,22.34,32,5117.0,0
103,3,21.18,36,4130.65,0
94,5,6.83,29,5733.46,1
104,4,17.98,38,4750.42,0
75,4,16.03,29,3757.84,0
123,5,21.79,33,5831.62,0
130,5,19.28,38,6452.6,1
112,5,2.7,33,7400.88,1
105,5,14.8,27,5489.54,1
72,4,10.92,39,3456.73,1
29,1,3.81,35,1200.0,0
49,5,12.05,28,2606.76,0
94,5,14.41,6,5574.01,1
55,3,14.8,28,2160.92,0
126,2,4.97,31,6850.69,1
25,4,9.15,21,1200.0,0
43,1,13.3,27,1200.0,0
123,4,12.97,19,6982.98,1
56,4,3.31,16,3638.41,1
96,1,24.61,31,3007.39,0
59,1,1.66,8,3810.35,0
125,1,20.47,16,5607.33,0
105,3,20.8,17,4622.33,0
83,2,11.57,14,3931.64,1
37,4,23.95,2,1200.0,0
68,1,12.63,37,2253.46,0
55,1,10.69,0,2285.31,0
112,2,3.65,26,6479.19,1
44,4,2.12,18,3653.66,1
90,1,9.07,1,5166.53,0
74,1,21.78,7,2128.48,0
100,2,21.36,16,4066.33,0
39,2,22.18,7,1200.0,0
71,2,22.57,20,2100.92,0
119,4,17.4,20,6023.99,1
148,2,19.3,2,7149.31,1
107,3,22.97,17,4471.74,0
38,2,15.09,31,1200.0,0
65,3,0.49,38,3741.97,1
105,4,15.09,15,6041.13,1
47,5,6.12,10,4198.23,0
81,2,11.69,0,3985.81,1
135,4,5.27,26,8397.87,1
68,3,17.43,2,3224.79,0
128,1,4.58,19,6978.46,1
75,2,6.23,39,3726.56,0
142,3,9.19,18,8244.44,1
108,5,23.77,18,5465.83,1
43,4,11.34,29,2312.94,0
79,2,10.58,21,3763.91,0
77,4,24.28,2,3116.0,0
39,2,6.46,31,1834.2,0
48,1,12.37,9,1684.83,0
144,1,17.36,21,6877.39,1
93,1,17.28,10,3802.41,0
117,2,24.44,34,4069.03,0
97,1,19.59,36,3386.59,0
55,5,11.37,25,3478.99,0
54,2,2.07,18,3235.02,0
130,4,6.21,33,7489.6,1
38,3,8.11,12,2361.69,0
48,2,5.89,13,2480.11,0
75,4,17.95,28,2999.51,0
42,4,10.25,18,2264.63,0
82,1,19.5,14,2800.37,0
49,4,16.64,16,2074.06,0
32,4,15.94,10,1805.11,0
143,1,4.44,3,8187.42,1
146,4,21.59,24,7455.96,1
135,4,20.77,9,6917.98,1
137,1,19.34,24,6288.36,0
104,2,0.35,11,6865.41,1
141,5,6.07,9,9482.25,1
137,2,15.63,30,6671.29,1
118,4,1.56,17,7789.43,1
93,5,20.84,38,4068.76,0
139,4,11.48,26,7837.18,1
25,1,12.54,14,1200.0,0
92,4,9.94,36,4912.64,1
125,1,14.66,26,5966.21,1
46,3,20.51,13,1200.0,0
117,5,3.56,32,8000.89,1
115,5,21.76,12,5932.52,1
114,2,1.31,39,6801.15,1
50,4,17.41,27,1854.71,0
91,1,9.72,6,4727.97,0
44,1,4.67,14,1866.27,0
109,4,23.38,32,4716.2,1
83,4,4.4,17,5384.91,1
91,2,0.48,20,5532.89,1
25,2,7.57,25,1200.0,0
76,1,3.05,30,4232.02,0
78,4,22.68,29,2812.39,0
91,1,18.0,39,2909.86,0
138,1,18.52,2,6102.1,1
68,3,24.49,22,2233.62,0
54,1,5.31,39,2532.52,0
66,5,1.33,3,5493.56,1
97,5,24.51,19,4455.99,1
41,5,7.16,27,2885.06,0
124,1,2.37,20,7057.55,1
120,5,1.49,8,8761.7,1
95,2,7.93,34,4615.79,0
100,1,9.63,1,5358.95,0
141,2,20.71,7,6786.01,1
25,1,19.17,17,1200.0,0
127,2,12.49,33,5912.17,0
95,3,16.11,31,4005.11,1
26,5,1.03,12,2798.85,1
128,4,2.3,1,8882.2,1
30,5,8.46,30,2144.96,0
72,2,21.38,29,2182.66,0
144,1,20.76,0,6959.86,1
124,2,0.32,11,7839.6,1
98,3,16.1,14,4573.75,1
70,5,14.44,8,4424.06,1
77,1,6.02,36,3640.26,0
48,5,21.05,21,1726.25,0
102,5,0.55,12,8065.02,1
103,2,20.41,3,4272.93,0
108,5,23.65,22,5021.38,1
37,5,19.86,16,1200.0,0
101,2,1.21,38,5965.97,1
136,4,4.35,12,8817.93,1
65,5,21.77,35,2423.0,0
64,3,3.95,22,4086.63,1
36,1,7.33,28,1200.0,0
56,1,21.83,28,1200.0,0
136,1,15.15,30,6486.74,1
25,1,15.07,5,1200.0,0
113,3,11.74,33,5691.51,1
93,2,7.99,30,4384.14,1
75,5,3.3,9,5300.88,1
92,1,1.86,12,5560.22,1
103,5,16.86,7,5664.57,1
71,4,14.11,34,3383.63,0
110,5,22.09,24,5446.74,1
25,1,4.35,28,1200.0,0
120,3,18.94,19,5620.75,1
111,3,17.07,35,4711.93,1
41,2,17.95,3,1200.0,0
123,3,19.69,21,6160.31,1
39,1,19.12,39,1200.0,0
51,3,14.03,22,1887.54,0
49,4,2.97,25,3500.28,1
68,4,8.19,6,4563.11,1
90,3,21.95,35,3281.91,0
146,1,19.65,8,7115.81,1
82,4,21.7,19,3296.83,0
120,4,19.35,16,6308.9,1
97,4,21.96,9,4677.06,0
110,4,3.61,16,7251.28,1
31,1,22.34,0,1200.0,0
38,1,1.73,13,2321.64,0
73,3,3.99,18,4590.46,1
70,4,6.44,25,4084.38,1
87,4,6.3,13,5922.2,1
67,2,11.67,34,2709.76,0
98,2,5.27,18,5777.31,1
76,3,9.13,33,3787.45,1
56,3,18.14,32,1964.29,0
33,3,22.94,39,1200.0,0
101,3,13.33,28,4824.64,1
141,1,16.43,22,6744.45,1
25,5,21.48,33,1200.0,0
108,2,23.33,22,4294.92,0
111,3,13.89,3,6303.71,1
36,5,10.02,25,2284.5,0
139,2,15.78,8,7232.15,1
29,4,6.66,8,2000.05,1
149,2,5.06,19,9100.8,1
103,1,9.48,3,5364.56,0
98,2,13.13,36,4366.41,0
130,4,11.52,19,7180.94,1
119,2,22.76,1,5087.26,0
79,3,11.0,13,4453.18,1
43,5,15.23,27,2073.48,0
92,5,3.89,2,6589.14,1
76,5,23.83,34,2869.02,0
111,1,21.84,1,4750.53,0
42,4,12.74,28,1902.96,0
139,1,7.28,30,7124.58,1
30,1,7.51,16,1200.0,0
140,4,8.43,30,7813.27,1
114,1,10.66,13,5561.99,0
52,3,15.38,16,2180.14,0
137,4,19.05,10,7216.95,1
56,4,21.36,29,2159.12,0
51,1,2.67,11,2554.43,0
140,2,16.66,18,6734.91,1
48,1,0.76,4,2980.82,0
55,1,24.05,38,1200.0,0
81,5,24.35,2,3972.24,0
46,5,11.57,3,3328.27,0
96,1,6.11,39,4663.68,0
49,1,5.64,4,2582.44,0
106,3,15.47,16,5650.7,1
72,4,15.95,38,2923.23,0
122,1,23.53,24,4433.47,0
48,4,4.03,30,3178.93,1
69,5,15.22,8,4046.78,1
84,5,24.42,31,3216.4,0
138,2,12.54,0,7919.71,1
72,5,23.79,2,3761.05,1
123,1,20.56,1,5311.22,0
61,4,3.97,29,3955.16,1
107,3,9.84,35,5379.91,1
122,5,2.49,21,8379.78,1
78,2,1.73,9,4584.01,1
84,2,9.8,9,4561.3,1
145,1,10.57,30,7401.14,1
56,2,23.2,22,1200.0,0
122,2,21.37,31,5026.46,0
87,3,20.72,16,3707.13,0
78,3,24.56,24,2394.57,0
88,2,14.59,6,4237.77,0
146,2,20.98,22,6614.6,1
61,2,6.24,17,3512.0,0
74,1,4.3,14,3875.61,0
143,5,22.39,2,7665.74,1
38,5,2.0,29,3365.19,0
124,3,16.84,17,6204.37,1
114,3,19.67,23,5423.78,1
149,2,14.0,2,7975.11,1
95,3,12.84,9,4815.83,1
100,5,0.61,39,7060.36,1
86,5,6.38,9,6013.89,1
101,4,0.97,32,6532.69,1
88,4,4.53,9,5936.42,1
87,2,23.65,26,2821.83,0
124,5,16.64,9,7250.5,1
62,5,13.58,1,3809.65,1
40,2,1.54,4,2870.21,0
118,5,9.74,0,7645.26,1
136,5,12.15,31,7943.61,1
49,1,3.8,6,2742.71,0
62,2,22.29,11,1485.51,0
26,4,5.7,23,1632.33,0
139,2,21.8,13,6384.36,0
58,4,3.68,10,4164.19,1
48,1,0.97,24,2322.99,0
117,1,1.37,26,6711.49,1
121,2,10.98,20,5908.64,0
120,3,11.13,1,6946.74,1
131,4,15.9,38,6595.44,1
29,3,16.94,26,1200.0,0
96,4,13.15,6,5639.56,1
148,5,23.81,17,7711.4,1
128,5,8.1,23,8139.16,1
140,2,23.24,10,6075.16,1
70,4,4.1,15,5017.88,1
35,5,20.02,2,1449.08,0
64,5,23.67,17,2715.59,0
130,3,1.47,25,8228.97,1
29,3,20.92,32,1200.0,0
98,4,3.61,3,6428.0,1
144,5,14.69,2,8472.65,1
57,1,19.74,27,1200.0,0
39,3,11.65,12,1992.88,0
104,3,12.12,35,4862.86,1
49,5,8.53,32,2991.25,0
113,5,4.95,19,7509.7,1
106,3,14.41,27,5281.57,0
62,1,13.58,26,2174.7,0
149,5,8.63,27,9106.45,1
28,4,11.6,9,1200.0,0
67,4,3.79,37,4035.13,1
82,3,6.51,23,4950.96,1
90,4,9.14,31,5502.72,1
55,1,24.51,14,1200.0,0
139,2,0.68,10,8758.56,1
51,1,21.35,3,1444.67,0
148,5,20.56,39,7854.39,1
87,3,7.02,39,4475.8,0
37,3,24.73,37,1200.0,0
93,2,19.64,15,3736.68,0
145,2,22.68,37,6006.06,0
38,1,23.58,16,1200.0,0
38,5,19.85,36,1200.0,0
105,1,9.46,3,5547.72,1
111,5,11.29,28,6751.29,1
139,1,17.06,22,6443.44,1
112,3,21.75,19,4947.96,0
115,4,17.79,13,6525.12,1
142,3,5.78,33,8150.55,1
54,4,14.19,36,1833.47,0
93,2,24.18,7,3551.89,0
79,1,7.08,28,3630.44,0
133,5,3.16,1,9161.97,1
58,1,13.1,5,1869.96,0
70,5,15.08,35,3844.01,1
113,4,16.9,12,6362.0,1
75,2,10.16,14,3820.01,0
95,3,4.65,7,5857.8,1
58,4,8.94,2,3663.1,1
45,3,6.55,39,2424.88,0
34,3,3.99,25,2305.36,0
120,2,6.34,27,6916.69,1
146,2,7.89,29,7605.58,1
66,1,8.81,37,2306.35,0
85,5,12.81,21,5060.16,1
123,3,7.41,4,7372.44,1
60,2,0.48,3,4319.17,1
52,3,12.35,16,2090.26,0
98,3,6.72,29,5416.86,1
122,3,5.73,30,7040.79,1
125,4,16.47,1,6969.02,1
124,5,13.13,38,6868.11,1
30,1,21.17,31,1200.0,0
121,1,24.83,3,4644.47,0
146,4,22.98,9,7545.3,1
44,4,12.27,4,2563.68,0
68,1,11.81,17,2830.71,0
112,4,22.35,32,4770.23,0
95,1,9.77,6,4836.48,0
139,2,5.61,2,8240.31,1
64,5,8.83,16,4199.33,1
143,2,16.75,25,7018.26,1
116,5,7.48,35,7099.94,1
80,5,18.35,29,3947.42,1
139,4,4.28,20,8654.15,1
104,3,14.74,33,4705.38,1
25,1,5.84,14,1200.0,0
56,1,7.99,2,2732.38,0
122,3,5.03,39,6984.16,1
68,4,11.18,9,4406.39,0
104,1,14.01,11,4792.91,1
91,3,18.92,25,3608.1,0
39,2,23.58,28,1200.0,0
76,5,19.69,20,3715.24,1
69,5,0.52,31,5282.08,1
142,1,15.9,18,6502.55,1
86,4,21.76,25,3226.59,0
42,3,15.31,2,1200.0,0
137,3,21.77,4,6648.0,1
95,3,23.11,1,4109.47,0
95,2,19.78,4,3979.77,0
62,1,14.33,6,2809.51,0
75,4,6.96,18,4776.88,1
73,1,13.43,9,3157.61,0
78,4,20.02,12,3354.02,1
49,3,15.44,36,1328.64,0
46,1,19.71,31,1200.0,0
133,1,21.49,35,5549.16,0
98,3,10.25,13,5297.53,1
49,4,4.81,15,3618.0,1
144,4,8.83,36,7962.24,1
77,2,15.41,38,2920.19,0
131,3,21.61,0,6625.48,1
30,5,18.09,12,1417.61,0
55,3,6.05,7,3265.16,1
104,2,5.62,24,5480.2,1
88,5,21.38,23,4294.46,1
112,2,10.55,32,5343.02,1
60,4,4.81,37,3422.36,0
82,2,20.28,26,2738.47,0
77,1,1.64,22,4676.74,0
41,2,17.41,15,1200.0,0
103,4,1.2,6,7251.26,1
48,4,1.12,27,3733.22,1
41,4,11.4,29,1745.55,0
100,2,7.99,24,5173.96,1
28,5,1.79,19,2865.6,1
72,4,5.22,22,4613.14,1
116,5,8.43,19,7360.58,1
87,2,24.23,39,2287.8,0
49,5,1.52,16,4197.82,1
93,3,22.65,24,3811.89,0
109,5,0.96,5,8230.93,1
60,4,8.72,22,3767.09,0
55,3,24.07,26,1200.0,0
44,3,23.78,32,1200.0,0
25,4,22.51,8,1200.0,0
99,3,14.92,30,4622.97,1
74,4,16.31,31,3432.9,0
81,1,4.81,38,3874.99,1
116,3,22.53,16,5078.96,1
98,3,6.83,15,5933.26,1
64,5,2.66,2,5386.23,1
107,5,10.74,29,6457.32,1
64,3,21.03,37,1492.66,0
31,1,1.39,37,1417.83,0
76,2,9.79,12,4316.41,1
86,4,21.46,3,4088.12,0
44,3,24.79,11,1200.0,0
45,1,13.9,19,1240.55,0
120,1,16.68,0,5863.56,0
46,1,10.72,33,1200.0,0
108,4,4.06,20,7299.03,1
81,2,2.62,27,5002.01,1
127,3,11.4,17,6663.4,1
144,3,19.09,19,7411.47,1
115,3,18.12,2,6005.66,0
47,4,22.5,6,1753.78,0
131,4,6.74,0,8403.32,1
49,5,11.22,10,3113.04,1
28,5,0.96,31,2828.8,0
91,1,24.06,10,3012.41,0
142,2,20.04,2,6986.37,1
37,4,20.6,0,1408.58,0
120,3,0.6,32,7767.35,1
47,4,8.93,7,3091.21,0
132,1,19.27,35,5257.38,0
35,2,0.63,35,2050.06,0
43,3,22.45,1,1200.0,0
69,2,12.07,4,3604.5,0
119,1,22.83,18,4255.27,0
106,2,18.76,32,4421.17,0
77,1,5.81,33,3717.77,0
87,3,12.0,17,4473.28,1
89,3,1.43,10,6231.78,1
30,4,10.82,10,1338.94,0
30,5,24.73,27,1200.0,0
129,5,22.27,3,7254.41,1
141,3,12.64,6,8015.83,1
65,5,16.4,4,3308.23,1
36,3,20.14,32,1200.0,0
42,3,16.43,23,1200.0,0
130,1,21.11,6,5491.56,1
120,2,19.87,32,5106.42,0
80,4,11.26,26,4327.25,1
118,4,11.49,5,7242.54,1
141,2,11.7,8,7492.16,1
96,2,18.49,19,4136.61,0
36,2,4.36,12,2468.89,0
94,5,18.98,8,5297.13,1
73,1,2.71,24,3865.38,0
49,1,20.13,7,1200.0,0
75,5,24.21,35,2670.36,0
95,1,8.37,10,5068.66,0
138,5,1.93,3,9551.7,1
65,5,11.6,9,4180.62,1
54,2,5.84,0,3409.72,1
51,4,1.86,39,3539.35,1
134,5,20.85,2,7523.93,1
119,4,9.25,9,7061.38,1
52,3,16.8,15,1737.29,0
32,4,20.26,7,1200.0,0
98,1,3.14,11,5859.27,1
134,3,24.43,27,5812.84,0
68,3,18.53,14,2868.55,0
59,3,6.79,7,3783.79,1
76,1,8.91,24,3611.56,0
25,2,15.53,32,1200.0,0
100,2,20.9,16,3865.14,0
66,5,20.68,2,3669.66,1
135,1,6.14,35,6822.4,1
123,1,10.91,37,5580.31,0
49,4,14.88,17,2181.83,0
92,4,5.19,22,5915.88,1
94,4,15.42,3,5325.48,1
86,3,22.34,16,3276.82,0
43,2,4.71,39,2114.11,0
74,5,9.83,16,4703.45,1
62,4,4.63,15,4632.66,1
48,3,14.73,37,1316.84,0
30,1,21.49,39,1200.0,0
95,2,9.08,11,5216.29,1
144,4,4.07,19,8840.9,1
32,5,18.99,27,1200.0,0
102,1,17.41,11,4381.07,0
92,4,17.2,33,4027.87,1
65,1,5.0,5,3171.77,0
117,2,21.5,16,4691.6,0
136,4,8.35,30,8569.57,1
72,2,20.75,22,2112.22,0
82,2,17.54,26,3221.22,0
78,2,22.83,19,2225.6,0
36,5,23.24,33,1200.0,0
115,5,22.47,6,6074.65,1
29,5,14.61,39,1200.0,0
80,1,21.18,30,1827.47,0
30,2,3.09,14,2274.44,0
148,3,9.72,32,8128.75,1
52,5,22.23,38,2075.89,0
79,3,1.79,8,5256.79,1
80,1,12.43,8,3741.82,0
93,1,20.89,30,2954.85,0
134,2,17.91,31,6037.19,0
146,4,13.85,35,8382.85,1
100,5,2.21,17,7068.98,1
25,5,11.87,37,1200.0,0
101,2,10.78,30,5121.62,0
115,2,22.3,22,4778.81,0
112,1,23.12,38,3531.88,0
141,3,5.88,5,8721.94,1
90,1,9.58,7,4415.36,0
106,2,4.68,1,6438.57,1
53,5,24.96,9,2284.09,0
96,5,14.08,16,5874.36,1
138,5,19.19,18,7512.95,1
57,2,13.08,15,2696.68,0
46,4,16.91,24,1615.43,0
114,2,15.82,1,5731.29,1
86,4,15.25,11,4608.64,1
59,5,10.95,12,3942.91,1
94,4,15.01,12,4994.35,1
134,5,22.88,35,6599.18,1
148,5,17.23,24,8301.18,1
28,2,11.58,32,1200.0,0
78,3,5.2,15,4994.42,1
140,3,23.25,29,5768.12,1
73,4,8.84,17,4202.58,1
84,4,1.39,14,6153.62,1
36,5,13.35,30,2018.98,0
90,1,1.06,26,4864.81,0
97,1,7.35,28,4522.86,1
134,3,8.37,29,7696.07,1
146,3,18.16,18,7443.24,1
38,4,3.29,32,2741.76,0
95,2,11.28,12,4867.89,0
130,5,15.35,3,7887.77,1
122,1,15.25,37,5455.12,0
49,1,4.55,6,2728.96,0
102,4,11.0,25,5945.34,0
129,1,11.75,12,6264.28,1
86,4,9.2,32,4535.08,1
66,2,15.15,23,2798.29,0
128,5,8.12,39,7391.9,1
48,4,17.13,26,1774.17,0
44,2,13.89,30,1200.0,0
85,3,15.67,20,3831.71,1
67,2,20.29,22,1945.77,0
37,5,3.1,14,3756.27,1
97,4,23.67,26,4043.41,0
58,3,10.93,24,2587.98,0
96,4,23.72,11,4221.56,0
61,1,2.43,2,3775.45,0
56,1,20.52,6,1394.14,0
102,3,24.84,5,4175.37,0
110,3,14.32,38,5505.85,0
77,3,23.88,12,2839.73,0
149,3,22.56,6,7324.05,1
95,1,6.94,34,4686.66,0
91,5,1.99,17,6572.98,1
48,3,7.01,10,2915.5,1
122,5,17.14,3,7470.36,1
108,5,1.83,18,7765.6,1
93,5,15.72,29,5373.65,1
35,1,3.49,14,1576.28,0
144,2,16.82,22,7152.21,1
145,5,5.56,25,9017.22,1
149,5,5.9,33,9158.65,1
126,4,21.97,34,5582.14,0
51,5,6.32,28,3230.48,1
52,5,6.25,14,4172.33,1
42,3,11.8,4,2277.44,0
97,2,9.37,27,4780.14,1
143,1,1.81,15,8138.81,1
104,2,10.95,35,4754.97,1
141,1,7.07,5,8058.68,1
83,5,24.57,24,3533.96,0
47,3,19.61,10,1966.31,0
83,3,21.99,33,2555.81,0
50,3,9.49,2,2702.14,0
31,4,19.58,18,1200.0,0
94,1,23.53,29,2496.76,0
27,1,5.92,9,1618.4,0
131,3,9.14,29,7206.54,1
123,4,8.36,11,7574.8,1
109,1,21.54,21,3599.23,0
36,3,21.16,27,1200.0,0
80,2,3.13,29,4738.84,1
106,4,20.15,18,5021.21,1
128,3,22.87,22,5869.63,1
110,1,9.8,16,5952.21,0
92,4,20.56,35,4060.3,0
57,4,20.85,8,2437.52,0
88,4,2.9,10,6298.32,1
126,5,19.59,8,7494.81,1
48,1,23.1,33,1200.0,0
124,3,23.82,30,5398.42,0
126,5,2.61,33,8167.9,1
86,1,23.99,35,1853.34,0
91,2,0.75,24,5420.23,1
92,1,17.11,1,4104.75,0
116,3,22.28,5,5503.68,0
98,1,5.61,33,4964.37,1
99,4,6.18,26,5816.53,1
55,1,3.43,28,2784.19,0
128,2,18.97,17,6011.94,1
76,3,21.18,23,2584.76,0
81,1,17.38,5,3223.8,0
48,3,12.14,27,2011.68,0
118,3,16.64,17,6006.74,1
131,4,20.1,1,7100.68,1
142,1,23.0,2,5771.38,1
108,1,19.68,6,4490.66,0
133,5,15.81,3,7855.85,1
121,3,4.89,30,7008.05,1
77,2,15.86,26,3098.23,0
72,4,19.04,29,2786.05,0
60,3,8.29,19,3282.53,1
101,5,15.89,35,5540.98,1
28,3,1.45,10,1797.82,0
111,2,9.93,6,6319.86,1
84,5,2.37,5,6477.49,1
